srcname,cpe_vendor,cpe_product,cpe_edition,cpe_lang,cpe_sw_edition,cpe_target_sw,cpe_target_hw,cpe_other
databases/php74-pdo,php,php,*,*,*,*,*,*
databases/php74-pdo,php_group,php,*,*,*,*,*,*
databases/php74-pdo_dblib,php,php,*,*,*,*,*,*
databases/php74-pdo_dblib,php_group,php,*,*,*,*,*,*
databases/php74-pdo_firebird,php,php,*,*,*,*,*,*
databases/php74-pdo_firebird,php_group,php,*,*,*,*,*,*
databases/php74-pdo_mysql,php,php,*,*,*,*,*,*
databases/php74-pdo_mysql,php_group,php,*,*,*,*,*,*
databases/php74-pdo_odbc,php,php,*,*,*,*,*,*
databases/php74-pdo_odbc,php_group,php,*,*,*,*,*,*
databases/php74-pdo_pgsql,php,php,*,*,*,*,*,*
databases/php74-pdo_pgsql,php_group,php,*,*,*,*,*,*
databases/php74-pdo_sqlite,php,php,*,*,*,*,*,*
databases/php74-pdo_sqlite,php_group,php,*,*,*,*,*,*
databases/php74-pgsql,php,php,*,*,*,*,*,*
databases/php74-pgsql,php_group,php,*,*,*,*,*,*
databases/php74-sqlite3,php,php,*,*,*,*,*,*
databases/php74-sqlite3,php_group,php,*,*,*,*,*,*
databases/php80-dba,php,php,*,*,*,*,*,*
databases/php80-dba,php_group,php,*,*,*,*,*,*
databases/php80-mysqli,php,php,*,*,*,*,*,*
databases/php80-mysqli,php_group,php,*,*,*,*,*,*
databases/php80-odbc,php,php,*,*,*,*,*,*
databases/php80-odbc,php_group,php,*,*,*,*,*,*
databases/php80-pdo,php,php,*,*,*,*,*,*
databases/php80-pdo,php_group,php,*,*,*,*,*,*
databases/php80-pdo_dblib,php,php,*,*,*,*,*,*
databases/php80-pdo_dblib,php_group,php,*,*,*,*,*,*
databases/php80-pdo_firebird,php,php,*,*,*,*,*,*
databases/php80-pdo_firebird,php_group,php,*,*,*,*,*,*
databases/php80-pdo_mysql,php,php,*,*,*,*,*,*
databases/php80-pdo_mysql,php_group,php,*,*,*,*,*,*
databases/php80-pdo_odbc,php,php,*,*,*,*,*,*
databases/php80-pdo_odbc,php_group,php,*,*,*,*,*,*
databases/php80-pdo_pgsql,php,php,*,*,*,*,*,*
databases/php80-pdo_pgsql,php_group,php,*,*,*,*,*,*
